q0 q1 q2 q3 wx wy wz
  0.509338 -0.0101359   0.490785  -0.706826   0.208864 0.00952358  0.0655359
  0.514621 -0.0104525   0.494721  -0.700219    0.20888 0.00906087  0.0655158
  0.519837 -0.0107957   0.498612   -0.69357   0.208895 0.00859832  0.0654968
  0.525002 -0.0110607   0.502419  -0.686896   0.208908 0.00813594  0.0654789
  0.530059 -0.0113628   0.506215  -0.680187    0.20892 0.00767372  0.0654621
  0.535126 -0.0116919   0.509996  -0.673355    0.20893 0.00721165  0.0654464
  0.540174 -0.0120495   0.513716  -0.666455   0.208939 0.00674973  0.0654318
  0.545079 -0.0123263   0.517442  -0.659538   0.208946 0.00628796  0.0654183
  0.549908 -0.0124952    0.52112  -0.652594   0.208951 0.00582633  0.0654059
  0.554596  -0.012662   0.524894  -0.645561   0.208955 0.00536483  0.0653946
  0.559252 -0.0129184   0.528639  -0.638444   0.208958 0.00490347  0.0653844
  0.563855 -0.0130812   0.532245  -0.631357   0.208958 0.00444223  0.0653752
   0.56839 -0.0132218   0.535825  -0.624219   0.208958 0.00398112  0.0653672
  0.572892 -0.0133665   0.539502  -0.616891   0.208955 0.00352013  0.0653602
  0.577337 -0.0134536   0.543033  -0.609604   0.208951 0.00305925  0.0653544
  0.581681 -0.0134959   0.546566  -0.602272   0.208946 0.00259848  0.0653496
  0.585944 -0.0135477   0.550059  -0.594913   0.208939 0.00213782  0.0653459
  0.590155 -0.0136123   0.553553  -0.587461    0.20893 0.00167726  0.0653432
  0.594346 -0.0136179   0.556995  -0.579935    0.20892 0.00121679  0.0653417
   0.598456  -0.0135018    0.560438   -0.572344    0.208909 0.000756416   0.0653412
   0.602475  -0.0134922    0.563755   -0.564821    0.208896 0.000296131   0.0653417
